,B23409,B00367,B13847,B15553,B10749,B03605,B17517,B05851,B12869,B20167,B18365,B21754,B21401,B21937,B21046,B18646,B11920,B20159,B07325,B21967
40763,13.94791,45.0044,12.38907,11.82444,28.09963,21.36162,10.30781,38.34522,12.24505,103.32535,54.48417,36.13462,60.55194,13.26678,27.16783,12.58002,26.99909,92.71293,27.75066,36.47295
40764,14.44927,45.15805,13.01464,12.39867,29.28346,22.97091,10.88224,38.32935,12.76419,98.45246,57.17276,36.23684,64.2161,13.90684,28.50371,13.42055,26.87652,92.34756,29.67654,37.6843
40765,14.02504,45.05561,12.44347,11.88303,28.00097,21.62616,10.30781,38.44957,12.34662,101.83365,55.24249,36.27152,61.32379,13.34824,27.22787,12.90222,26.75432,88.78519,27.80237,36.03762
40766,14.46212,44.85074,12.98744,12.43382,29.26702,22.59614,10.70672,38.4337,12.75291,96.46352,57.0119,36.30621,64.73349,13.94176,28.39864,13.58866,26.69527,94.63113,28.92687,37.49502
40767,14.55211,44.95318,13.10984,12.49242,29.34923,22.79455,10.88224,38.41782,12.83191,95.86684,57.35659,36.30717,64.60627,14.02322,28.62379,13.75677,26.83526,92.07353,29.26293,37.28682
40768,14.55211,44.95318,13.10984,12.49242,29.34923,22.79455,10.88224,38.41782,12.83191,95.86684,57.35659,36.30717,64.60627,14.02322,28.62379,13.75677,26.83526,92.07353,29.26293,37.28682
40769,14.55211,44.95318,13.10984,12.49242,29.34923,22.79455,10.88224,38.41782,12.83191,95.86684,57.35659,36.30717,64.60627,14.02322,28.62379,13.75677,26.83526,92.07353,29.26293,37.28682
40770,14.79636,44.90196,13.30023,12.77367,30.00692,23.34567,11.10563,38.42853,13.06891,92.58509,58.52854,36.30793,66.52317,14.29088,29.19416,14.10699,26.96707,93.26099,29.81872,38.5171
40771,14.68066,44.98732,13.30023,12.67992,29.7274,23.12522,10.99394,38.47099,12.96734,94.17624,58.04597,36.30886,65.81917,14.16287,28.77388,13.8128,27.03497,91.25145,29.44388,38.46032
40772,14.69352,45.02147,13.27303,12.69164,29.87538,23.32363,11.07372,38.47457,12.97862,93.679,58.20683,36.30978,65.84462,14.18614,28.66882,13.74276,27.16634,89.05922,29.40511,38.76315
40773,14.1536,44.97025,12.68826,12.14085,28.64222,22.22138,10.54716,38.57534,12.52719,99.14858,56.02379,36.31074,62.85052,13.56936,27.37797,12.8602,27.04375,86.59297,27.90577,37.23004
40774,13.98648,44.91903,12.55226,11.94163,28.24761,21.67025,10.37164,38.57892,12.38048,100.93863,54.94375,36.278,61.99386,13.34824,27.13781,12.62204,27.05677,85.49685,27.33705,36.41617
